locKey,surfMin,surfMax,generalCondition,surf_max_0,surf_max_1,surf_max_2,surf_max_3,surf_min_0,surf_min_1,surf_min_2,surf_min_3,swell_period1_0,swell_period1_1,swell_period1_2,swell_period1_3,swell_period2_0,swell_period2_1,swell_period2_2,swell_period2_3,swell_direction1_0,swell_direction1_1,swell_direction1_2,swell_direction1_3,swell_direction2_0,swell_direction2_1,swell_direction2_2,swell_direction2_3,swell_height1_0,swell_height1_1,swell_height1_2,swell_height1_3,swell_height2_0,swell_height2_1,swell_height2_2,swell_height2_3
131237,5,6,,6.37,6.41,6.79,5.51,5.37,5.44,5.9,4.56,5.7,6.3,6.3,6.3,4.7,5.7,3.9,3.9,316.0,296.0,307.0,317.0,18.0,334.0,16.0,17.0,6.4,6.6,7.6,5.8,1,3.8,0.7,0.9
131349,2,3,,1.52,3.28,4.59,5.85,0.52,2.28,3.59,4.85,8.4,4.7,5.2,6.3,2.4,7.6,5.2,6.3,37.0,311.0,36.0,38.0,267.0,34.0,350.0,353.0,1.3,3.3,4.6,5.9,0.7,0.9,2.9,3.7
131568,6,7,,6.67,6.81,6.24,7.36,6.36,5.81,5.24,6.36,9.3,9.3,9.3,9.3,6.9,6.3,6.3,4.7,112.0,101.0,110.0,89.0,59.0,54.0,54.0,357.0,6.4,6.8,5.9,7.4,4.5,3.2,4.9,0.9
131699,1,2,very poor,2.14,2.45,2.84,2.95,1.24,1.45,1.84,1.95,3.2,3.9,3.9,3.9,8.4,3.6,11.2,11.2,260,245,242,236,130,241,120,121,2.4,1.7,2.8,2.9,0.4,1.7,0.3,0.3
131701,4,5,,5.02,5.24,4.94,4.7,4.02,4.24,3.87,3.46,8.4,8.4,8.4,8.4,9.3,9.3,13.5,12.3,119.0,119.0,116.0,134.0,31.0,31.0,139.0,139.0,5,4.8,3.9,3.5,1.9,2.2,2.6,2.7
131975,,,,10.78,11.32,12.19,11.52,9.72,10.21,10.46,9.79,12.3,11.2,12.3,11.2,8.4,8.4,8.4,11.2,324.0,336.0,342.0,345.0,76.0,77.0,77.0,24.0,5.6,7.6,8.5,9.5,3.1,2.8,2.6,3.7
132250,3,4,,5.04,3.64,5.49,5.33,4.13,2.64,4.49,4.49,5.2,5.2,4.7,4.7,0.0,4.7,0.0,0.0,222.0,221.0,263.0,282.0,0.0,279.0,0.0,0.0,5.5,3.6,5.5,6.3,0,3.4,0,0
132252,1,2,,1.83,1.7,0.98,1.13,1.01,0.78,0,0.13,3.2,3.2,2.9,3.6,2.9,2.7,2.7,4.3,177.0,205.0,331.0,339.0,231.0,292.0,203.0,360.0,1.6,1.6,0.7,1,1.6,0.8,0.5,0.5
132253,1,2,,1.84,1.93,2.31,2.34,0.92,0.93,1.31,1.49,4.3,4.7,2.9,3.2,0.0,2.7,3.2,3.9,185.0,173.0,292.0,307.0,0.0,232.0,339.0,15.0,2,1.3,1.8,2.8,0,1.1,1.3,0.1
132254,3,4,,3.34,3.53,4.24,2.89,2.34,2.53,3.33,2.06,4.3,4.3,4.7,4.7,4.3,0.0,0.0,4.3,250.0,253.0,266.0,263.0,180.0,0.0,0.0,302.0,3.3,3.5,4.7,3.5,0.3,0,0,3.3
